NRM_ADJ;Norman;Norman;Norman;;;;;;;;;;;x;
NRM;Normandie;Normandie;Normandie;;;;;;;;;;;x;
NRM_proletarian_dictatorship;Norman Republic;Norman Republic;Norman Republic;;;;;;;;;;;x;
NRM_presidential_dictatorship;Norman Republic;Norman Republic;Norman Republic;;;;;;;;;;;x;
NRM_bourgeois_dictatorship;Norman Commune;Norman Commune;Norman Commune;;;;;;;;;;;x;
NRM_fascist_dictatorship;Normandie;Normandie;Normandie;;;;;;;;;;;x;
NRM_absolute_monarchy;Normandie;Normandie;Normandie;;;;;;;;;;;x;
NRM_prussian_constitutionalism;Normandie;Normandie;Normandie;;;;;;;;;;;x;
NRM_hms_government;Normandie;Normandie;Normandie;;;;;;;;;;;x;
NRM_democracy;Norman Republic;Norman Republic;Norman Republic;;;;;;;;;;;x;
NRM_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NRM_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NRM_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NRM_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NRM_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NRM_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NRM_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NRM_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NRM_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
