BAC_ADJ;Bactrian;Bactrian;Bactrian;;;;;;;;;;;x;
BAC;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_proletarian_dictatorship;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_presidential_dictatorship;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_bourgeois_dictatorship;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_fascist_dictatorship;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_absolute_monarchy;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_prussian_constitutionalism;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_hms_government;Bactria;Bactria;Bactria;;;;;;;;;;;x;
BAC_democracy;Bactrian Republic;Bactrian Republic;Bactrian Republic;;;;;;;;;;;x;
BAC_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
BAC_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BAC_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BAC_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BAC_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BAC_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BAC_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BAC_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BAC_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
